"filename", "language", "JSON", "Markdown", "TypeScript", "JavaScript", "TypeScript React", "JavaScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\portfolio.actions.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 23, 12, 130
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\user.actions.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 28, 14, 107
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Alert\Alert.tsx", "TypeScript React", 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Alert\AlertStyles.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\Pie\PieChart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\Pie\PieChart.tsx", "TypeScript React", 0, 0, 0, 0, 70, 0, 0, 0, 0, 12, 82
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\TimeSeries\PortfolioLineChart.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 1, 0, 37
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\TimeSeries\PortfolioLineChart.tsx", "TypeScript React", 0, 0, 0, 0, 252, 0, 0, 0, 22, 39, 313
"c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\TimeSeries\TestChart.tsx", "TypeScript React", 0, 0, 0, 0, 76, 0, 0, 0, 42, 11, 129
